human_cluster	MC4R	MC3R	CHAT	NTS	GAL	KISS1	TAC3	LEPR	CRABP1	SIM1	TRH	SLC32A1	top_markers	region	region_color	C4	C3	mouse_cluster	species_cor	from_occ	Mc4r	Mc3r	Chat	Nts	Gal	Kiss1	Tac2	Lepr	Crabp1	Sim1	Trh	Slc32a1
C4-74 Mid-1 GABA-2 CLMP ADAMTSL1	0	0.02	0	0.08	0.09	0	0	0.51	0.1	0	0.03	0.37	DLK1|NWD2|FBN2|OR8A1|ANKRD30A	SCN	#FF7300	C4-74	C3-43	C465-162: Serpinb1b.Unassigned.Pnoc.Mixed.GABA-2	0.772	1	0.01	0.07	0	0.19	0.39	0.02	0.13	0.01	0.02	0	0.08	1.4
C3-142 Vascular Fibroblasts	0	0	0	0.06	0.05	0	0.01	1.3	0.07	0.08	0.02	0.02	SLC6A20|LHCGR|SLC16A12|FMO2|SRPX2	Vascular	#8500CC	C3-142	C3-142															
C4-367 Mid-2 GABA-GLU-2 PPP1R17 NPY	0	0	0	0.05	0.32	0.03	0.01	1.02	0.15	0	0.07	0.03	PPP1R17|NPY|GRP|KC877982.1|RORB	Perivent	#CC9F5C	C4-367	C3-126															
C4-246 Post-1 GLU-2 PGM5	0	0	0	0.16	0	0.01	0.11	0.27	0.09	1.22	0.06	0	OTX2|SIM1|EYA1|PGM5|PKHD1L1	MAM	#990073	C4-246	C3-91															
C4-330 Mid-2 GLU-1 LHX9 NPVF	0	0	0	0.11	0.1	0	0.02	0.07	0.08	0	0.06	0.05	NPVF|LHX9|VGLL2|RERGL|PIK3C2G	LH	#3D61CC	C4-330	C3-117															
C3-12 Ependymal Ependymocytes	0	0	0	0.22	0.01	0.01	0.03	0.19	0.04	0.04	0	0.01	CFAP299|DTHD1|CFAP157|ADGB|CFAP73	Vent	#889945	C3-12	C3-12															
C4-280 Mid-3 GLU-2 CBLN2 SIM2	0	0	0	0.03	0.01	0.02	0.02	0.22	0.06	1.1	1.71	0.03	MAB21L2|ONECUT3|SIM2|TRH|ONECUT1	MPOA	#532E99	C4-280	C3-101	C465-19: Ebf1.Nostrin.Cbln2.Trh.GLU-2	0.925	2	0	0.06	0	0.13	0.26	0.02	0.06	0.04	0.04	0.69	2.65	0.12
C4-402 Mid-2 GLU-4 HDC TECRL	0	0	0	0.03	0.02	0.02	0.01	0.74	0	0	0	0	TECRL|PPP1R1C|GMNC|HDC|SLC26A4	TMN	#73ABFF	C4-402	C3-135	C465-253: Hdc.GABA-1	0.813	1	0.01	0	0.03	0.08	0.33	0.04	0.12	0.02	0.06	0.01	0.16	0.26
C4-260 Mid-3 GLU-1 RSPO3 POU6F2	0	0	0.05	0.01	0	0	0.13	0.39	0.04	0.01	0.03	0.06	RSPO3|TBR1|TCF7L2|IL1RAPL2|PGM5			C4-260	C3-97	C465-38: Tcf7l2.Tbr1.Meis2.Samd3.GLU-2	0.887	1	0.01	0.01	0.14	1.01	0.15	0	0.02	0.01	0	0.01	0.09	0.19
C4-148 Mid-1 GABA-5 FOXD2 GABRE	0	0	0.02	0.54	0.27	0.03	0.11	1.3	0.21	0	1.13	0.53	FOXD2|ARHGAP36|TRH|PROX1|TCF7L1	Perivent	#CC9F5C	C4-148	C3-61	C465-280: Ebf1.Nkx2-4.GABA-3	0.898	1	0	0.04	0	0.2	0.52	0.01	0.12	0.77	0.05	0	0.24	0.94
C4-183 Pre-2 GABA-3 NXPH2 HCRTR2	0	0	0	0.02	0.01	0.01	0	0.34	0.21	0.01	0.01	0.31	LHX6|SOX6|MOXD1|SST|LHX8	LPOA	#FFE926	C4-183	C3-73	C465-259: Lhx6.Sfrp1.Sox6.Lhx8.GABA-1	0.907	1	0	0.01	0	0.14	0.19	0.01	0.16	0.01	0.04	0	0.12	1.75
C4-84 Mid-1 GABA-2 PMFBP1 PDE11A	0	0	0	0.06	0.07	0	0.05	0.24	0.12	0	0.06	0.29	ONECUT1|ONECUT3|PMFBP1|PDE11A|GFRA1	LH	#3D61CC	C4-84	C3-46	C465-193: Adarb2.Shisal2b.Onecut3.Onecut2.GABA-2	0.951	1	0.06	0.01	0	0.29	0.35	0.05	0.18	0.02	0.01	0.01	0.15	1.64
C3-11 Astrocytes-3 PPP1R1A	0	0	0	0	0.01	0	0.01	0.39	0	0	0	0.01	IGFBP5|PPP1R1A|FAU|FXYD6|NUPR1			C3-11	C3-11															
C4-62 Mid-1 GABA-1 SHISAL2B	0	0	0	0.13	0.06	0.02	0.36	0.19	0.15	0	0.02	0.39	SATB2|SIX6|PRDM8|LHX1|NFIA	Perivent	#CC9F5C	C4-62	C3-41	C465-316: Reln.Nfix.Satb2.GABA-6	0.948	1	0.01	0	0	0.27	0.35	0.02	0.52	0.02	0.03	0	0.1	1.51
C4-159 Mid-1 GABA-6 IL13RA1 PDZRN4	0	0.01	0.04	0.02	0.6	0.01	0	0.34	0.07	0.01	0.02	0.41	RORB|SIX6|OTP|MCAM|GHRH	ARC	#993E17	C4-159	C3-65	C465-236: Pbx3.Zfp804b.Hmcn1.GABA-1	0.878	1	0	0.17	0.03	1.35	1.78	0.09	0.08	0.09	0.07	0	0.08	1.46
C4-14 Pre-1 GABA-8 DRD2 P2RY1	0	0	0	0	0.01	0.02	0.01	0.44	0.04	0	0	0.21	P2RY1|PENK|ADORA2A|GPR6|PPP1R1B			C4-14	C3-25															
C4-215 Post-1 GLU-1 EBF2 SCGN	0	0	0.01	0.11	0.01	0	0.11	0.21	0.11	0.01	0.03	0.02	EBF2|LMX1A|DMRTA2|TTC6|AP005242.1			C4-215	C3-82															
C4-409 Post-2 GLU-1 KIT MCTP2	0	0	0	0.03	0.03	0.01	0.24	0.29	0.19	1.04	0.16	0.01	SIM1|LTBP1|VCAN|FRMPD2|KIT			C4-409	C3-138	C465-143: Ctxn3.Myo5b.Postn.Foxb1.GLU-8	0.805	1	0.01	0.01	0	1.3	0.12	0.18	0.34	0.01	0.01	0.53	0.11	0.06
C4-324 Mid-2 GLU-1 ITGA2 ONECUT3	0	0	0.04	0.15	0.14	0.02	0.01	0.22	0.05	0.01	0.02	0	ONECUT3|TEX41|LEF1|SLC5A7|TH	MPOA	#532E99	C4-324	C3-115	C465-107: Ntng2.Tac1.Lef1.Mixed.GLU-4	0.873	3	0.02	0.01	0	0.71	0.85	0.05	0.15	0.18	0.03	0.01	0.13	0.16
C3-21 Oligo-Mature-2	0	0	0	0.02	0.01	0	0.01	0.17	0	0	0.01	0	LAMA2|DYSF|ROR1|PLXDC2|SVEP1	Fx/OT/ac	#CC1FBB	C3-21	C3-21															
C3-146 Immune Microglia XACT	0	0	0	0.02	0.03	0.01	0.01	0.52	0.01	0	0.01	0.01	P2RY12			C3-146	C3-146															
C4-1 Pre-1 GABA-8 PRKCH EYA1	0	0	0	0.01	0.03	0.02	0.02	0.48	0.02	0	0	0.08	SH3RF2|CCDC88C|PTPRQ|CA12|PRKCH			C4-1	C3-22															
C4-36 Pre-1 GABA-2 EYA2 CAV1	0	0	0	0.01	0	0	0.02	0.27	0.1	0	0.03	0.2	EYA2|NPFFR2|SHISA8|FOXP2|MEIS2			C4-36	C3-29	C465-308: Foxp2.Ccn1.Meis2.GABA-5	0.865	1	0.19	0	0	0.28	0.28	0.05	0.78	0	0.15	0	0.13	1.42
C4-292 Mid-3 GLU-2 ONECUT3 SIM2	0	0	0	0.33	0.11	0	0	0.24	0.05	1.06	1.34	0	ONECUT3|ONECUT1|SLC16A12|TRH|ASIC4	LH	#3D61CC	C4-292	C3-105	C465-29: Tac1.Syt2.Trh.GLU-2	0.909	1	0.02	0.03	0	0.58	0.33	0.01	0.2	0.01	0.11	0.72	3.62	0.39
C4-331 Mid-2 GLU-1 LHX9 HCRT	0	0	0	0.08	0.03	0	0.02	0.24	0.02	0.01	0.04	0.01	HCRT|LHX9|PLCZ1|RERGL|PIK3C2G	LH	#3D61CC	C4-331	C3-117	C465-118: Lhx9.Qrfp.Rfx4.GLU-4	0.927	4	0.03	0.02	0	0.17	0.31	0.02	0.08	0.02	0.06	0.03	0.17	0.05
C3-18 Oligo-Mature-1 NEDD4L	0	0	0	0.01	0.01	0	0.01	0.21	0	0	0	0		Fx/OT/ac	#CC1FBB	C3-18	C3-18															
C4-160 Mid-1 GABA-6 IL13RA1 GHRH	0	0.04	0.21	0.95	2.83	0.02	0.01	0.39	0.02	0	0.33	0.42	GHRH|GSX1|LUM|TMEM155|GABRE	ARC	#993E17	C4-160	C3-65	C465-285: Gsx1.Ghrh.GABA-3	0.917	2	0	0.21	0.3	0.11	3.64	0.03	0.09	0.14	0.3	0	0.19	0.94
C3-1 Astrocytes-1	0	0	0	0	0	0	0.01	0.37	0.01	0	0	0.01	WIF1|LHX2|EPHA6|GRM3|GABRA4			C3-1	C3-1															
C3-19 Oligo-Mature-1 ADAMTS12	0	0	0	0.01	0	0	0.04	0.18	0	0	0	0	ADAMTS12|TMEM178A|FSTL5|RBFOX1|MBOAT1	Fx/OT/ac	#CC1FBB	C3-19	C3-19															
C4-252 Post-1 GLU-4 THSD7B PTH2R	0	0	0	2.64	0.02	0.01	0.01	0.32	0.1	0	0.01	0.02	LMX1A|NTS|CDH23|LMX1B|TTC6	MAM	#990073	C4-252	C3-94															
C4-13 Pre-1 GABA-8 DRD2 EYA2	0	0	0	0.01	0	0.01	0.01	0.3	0.03	0.02	0	0.17	DRD2|MCHR2|CCDC88C|MEIS2|PENK			C4-13	C3-25	C465-172: Nms.Vip.Vipr2.GABA-2	0.745	1	0	0	0	0.06	0.1	0.01	0.02	0.02	0	0.01	0.03	1.43
C4-290 Mid-3 GLU-2 ONECUT3 CARTPT	0	0	0	0.71	0.11	0	0.01	0.29	0.05	1.11	1.72	0.02	ONECUT3|ONECUT1|PMFBP1|TRH|COL27A1	LH	#3D61CC	C4-290	C3-105	C465-30: Pvalb.Syt2.Trh.GLU-2	0.87	1	0.01	0.01	0	0.12	0.29	0.01	0.06	0.01	0.11	0.58	1.94	0.11
C4-106 Mid-1 GABA-3 NR2F1 NDST4	0	0	0	0.07	0.07	0.01	0.01	0.2	0.32	0.01	0.04	0.64	SCGN|NR2F1|ARHGAP36|TRHDE|DIRAS3	DMH	#FF73C7	C4-106	C3-51															
C4-411 Post-2 GLU-1 SALL3 PVALB	0	0	0	0.03	0.02	0.01	0.03	0.25	0.02	0.32	0.16	0	FSHR|CFAP299|MYO5B|TNFRSF11B|HAPLN1	LH	#3D61CC	C4-411	C3-139	C465-185: C1ql3.Nms.Fam122b.Vipr2.GABA-2	0.745	1	0	0	0	0.04	0.14	0.01	0.05	0.01	0.02	0	0.05	1.36
C4-188 Pre-2 GABA-3 GBX1 MEIS1	0	0	0	0.05	0.02	0	0.04	0.33	0.04	0.01	0.01	0.19	SOX6|GBX1|MEIS1|IGF1|CLMP	LPOA	#FFE926	C4-188	C3-74	C465-262: Lhx6.Gbx1.Sox6.Lhx8.GABA-1	0.713	1	0.03	0	0	0.35	0.19	0.02	0.07	0.02	0.04	0.01	0.13	1.61
C4-407 Post-2 GLU-1 ADGRL4 IGF2BP2	0	0	0	0.04	0.03	0.01	0.16	0.19	0.07	0.56	0.13	0.01	ADGRL4|LTBP1|MYO5B|SCTR|HTR7			C4-407	C3-137	C465-148: Epha8.Foxb1.GLU-8	0.79	2	0.01	0	0	0.43	0.11	0.01	0.11	0.02	0.01	0.6	0.04	0.04
C3-3 Astrocytes-2 CPAMD8	0	0	0	0.02	0	0	0	0.46	0.03	0	0	0	CPAMD8|BTBD11			C3-3	C3-3															
C3-4 Astrocytes-2 NEFM	0	0	0.01	0.12	0.03	0	0.01	0.41	0.03	0.01	0.02	0.04	NEFM|NEFH|SYT1|CNTNAP2|PLP1			C3-4	C3-4															
C3-5 Astrocytes-2 TSPAN18	0	0	0	0.01	0	0	0	0.37	0.05	0	0	0.01	TSPAN18|LGR6|NPFFR1|SLC14A1|DGKG			C3-5	C3-5															
C3-13 Ependymal Tanycytes	0	0	0.02	0.21	0	0	0.02	0.11	0	0	0	0.02	TWIST2|HTR2C|ADGRL2|PTPRT|ADAMTS18	Vent	#889945	C3-13	C3-13															
C3-6 Astrocytes-2 CHI3L1	0	0	0	0	0	0	0	0.42	0	0	0	0.01	CHI3L1|C11orf96|SERPINA3|HILPDA|SLC39A14			C3-6	C3-6															
C3-7 Astrocytes-2 LAMA2	0	0	0	0.02	0.01	0	0	0.35	0.01	0.01	0.01	0.01	LAMA2			C3-7	C3-7															
C3-9 Astrocytes-2 SERPINA3	0	0	0	0.01	0	0	0.01	0.35	0	0	0.01	0.01	SERPINA3|GABBR2|CADPS			C3-9	C3-9															
C3-14 Ependymal Choroid	0	0	0.02	0.04	0.05	0	0	0.6	0	0	0	0.02	PRLR|CLIC6|TTR|ABCA4|FOLR1	Vent	#889945	C3-14	C3-14															
C3-17 Oligo-Precursor-2	0	0	0	0.04	0.05	0	0	0.26	0.01	0.02	0.01	0.01	ADAM33|GPR17|BMPER|PRICKLE1|SH3RF3			C3-17	C3-17															
C3-20 Oligo-Mature-1 TRPM3	0	0	0	0	0	0	0	0.13	0	0	0	0.07	TRPM3	Fx/OT/ac	#CC1FBB	C3-20	C3-20															
C4-3 Pre-1 GABA-8 PRKCH EYA2	0	0	0	0	0.04	0.04	0	0.33	0.01	0	0	0.05	DRD2|CCDC88C|MEIS2|PRKCH|RBM20			C4-3	C3-22															
C4-35 Pre-1 GABA-2 EYA2 RXFP1	0	0	0	0	0.01	0	0	0.24	0.04	0	0.02	0.15	RXFP1|EYA2|NPFFR2|SEMA5B|LMNTD1			C4-35	C3-29															
C4-58 Pre-1 GABA-6	0	0	0.01	0.05	0	0.01	0.1	0.42	0.16	0	0.01	0.25	PLEKHH2|NPY|C1QL1|PENK|MEIS2			C4-58	C3-38															
C4-59 Pre-1 GABA-7 DCDC2C SMOC2	0	0	0	0.06	0.01	0.02	0.02	0.24	0.09	0	0.02	0.18	DCDC2C|TMEM215|SLC22A10|DIO3OS|P2RY1			C4-59	C3-39	C465-310: Crym.Adora2a.Meis2.GABA-5	0.8	1	0.02	0.01	0	0.97	0.17	0.01	0.04	0	0.06	0.01	0.12	1.29
C4-261 Mid-3 GLU-1 RSPO3 ROR1	0	0	0.03	0	0.03	0	0.01	0.4	0.02	0	0.05	0.07	RSPO3|TBR1|ROR1|LEF1|NDNF			C4-261	C3-97	C465-39: Ndnf.Meis2.Samd3.GLU-2	0.862	1	0.01	0	0.11	0.37	0.27	0.01	0.01	0	0	0.01	0.03	0.94
C4-10 Pre-1 GABA-8 SLC1A3 PTPRQ	0	0	0.01	0	0	0.02	0.01	0.27	0.03	0	0	0.14	PTPRQ|CA12|PRKCH|MEIS2|RELN			C4-10	C3-24															
C4-55 Pre-1 GABA-4 PENK	0	0	0	0	0	0.01	0.02	0.21	0	0.01	0	0.17	LOXHD1|PENK|DRD2|MEIS2|DCDC2C			C4-55	C3-36	C465-173: Prok2.Vip.Vipr2.GABA-2	0.789	1	0	0	0	0.03	0.05	0	0.02	0	0	0	0.05	1.51
C4-77 Mid-1 GABA-2 ERFL DISC1FP1	0	0	0	1.11	0.09	0	0.01	0.24	0.08	0	0.07	0.44	ONECUT3|ONECUT1|ERFL|POU6F2|PMFBP1	DMH	#FF73C7	C4-77	C3-44	C465-199: Alx1.Pmfbp1.Onecut2.GABA-2	0.938	1	0.04	0.01	0	0.63	0.22	0.02	0.17	0.04	0.11	0.01	0.13	1.42
C4-321 Mid-2 GLU-1 ITGA2 LEF1	0	0	0	0.13	0.11	0.01	0.01	0.23	0.04	0	0.05	0.03	ITGA2|LEF1|RORB|NTNG1|PCOLCE2	MPOA	#532E99	C4-321	C3-115	C465-109: Ntng2.Lef1.Mixed.GLU-4	0.943	1	0.01	0.01	0	0.16	1.07	0.04	0.09	0.13	0.06	0.01	0.15	0.16
C4-178 Pre-2 GABA-2 LHX8 CDH23	0	0	0	0.45	0.1	0.01	0.47	0.26	0.56	0	0.15	0.38	KCNU1|LHX8|CDH23|SCGN|PENK	POA	#F64DFF	C4-178	C3-72	C465-258: Cdh23.Lhx6.Lhx8.GABA-1	0.845	1	0.02	0.06	0.01	0.62	0.34	0.46	1.37	0.05	0.01	0.01	0.24	1.45
C4-155 Mid-1 GABA-6 SLC10A4 NOX4	0	0.01	0	0.09	0.09	0.01	0.08	0.31	0.27	0	0.01	0.47	SLC10A4|SIX6|RELN|SNTG2|OTP	LTN	#179924	C4-155	C3-64	C465-316: Reln.Nfix.Satb2.GABA-6	0.782	1	0.01	0	0	0.27	0.35	0.02	0.52	0.02	0.03	0	0.1	1.51
C4-99 Mid-1 GABA-3 LHX6 TEX41	0	0	0	1.96	0.09	0.02	0.1	0.13	0.34	0	0.13	0.34	TEX41|NTS|LHX8|PNOC|ONECUT1			C4-99	C3-50															
C4-104 Mid-1 GABA-3 NR2F1 RORB	0	0	0	0.13	0.04	0	0.05	0.18	0.21	0.02	0.05	0.46	SP8|NR2F1|RORB|NFIA|NFIX	DMH	#FF73C7	C4-104	C3-51	C465-169: Nfix.Unassigned.Mixed.GABA-2	0.702	1	0.03	0.01	0.01	0.19	0.34	0.05	0.15	0.01	0.02	0.01	0.08	1.69
C4-95 Mid-1 GABA-3 ZNF385D POU6F2	0	0	0	0.04	0.18	0	0	0.32	0.06	0	0.01	0.72	POU6F2|ONECUT1|ABCB5|SST|SEMA3D	DMH	#FF73C7	C4-95	C3-49	C465-164: Fbxw13.Unassigned.Pnoc.Mixed.GABA-2	0.741	1	0	0.07	0	0.25	0.26	0.03	0.12	0.07	0	0	0.1	1.64
C4-327 Mid-2 GLU-1 SOX14 COL4A6	0	0	0	0.02	0.06	0.01	0.01	0.22	0.03	0.02	0.1	0.04	COL4A6|CDKN2A|GNG8|RELN|ADGRD2	MPOA	#532E99	C4-327	C3-116															
C4-357 Mid-2 GABA-GLU-1 RGS22 NPY	0	0	0	0.07	0.07	0	0.03	0.4	0.09	0	0	0.36	NPY|SST|OTP|NR5A2|PIEZO2	ARC	#993E17	C4-357	C3-123	C465-291: Gpr101.Ptprk.Npy.Sst.GABA-4	0.924	2	0.02	0.18	0	0.99	0.3	0.04	0.15	0.06	0.02	0.01	0.09	1.31
C4-107 Mid-1 GABA-3 ECEL1 POU6F2	0	0	0	0.05	0.07	0	0.01	0.27	0.23	0	0.08	0.54	GPC3|POU6F2|ZEB2|ZNF385D|ECEL1	DMH	#FF73C7	C4-107	C3-52	C465-153: Slc30a3.Meis2.Mixed.GABA-2	0.726	1	0.02	0.02	0.01	0.43	0.8	0.03	0.62	0.04	0.03	0.01	0.12	1.66
C4-105 Mid-1 GABA-3 NR2F1 CCK	0	0	0	0.03	0.09	0.03	0.02	0.25	0.38	0.02	0.15	0.56	SCGN|CCK|SP8|SFRP1|NFIA	DMH	#FF73C7	C4-105	C3-51	C465-244: Dlx6os1.St18.Lhx6.GABA-1	0.824	1	0.01	0.01	0	0.18	0.55	0.02	0.87	0.01	0.02	0.01	0.18	1.45
C4-100 Mid-1 GABA-3 LHX6 BHLHE22	0	0	0.07	1.91	0.02	0.02	0.01	0.17	0.37	0.01	0.07	0.51	BHLHE22|LHX6|NKX2-2|GRM8|PCDH11Y			C4-100	C3-50															
C4-109 Mid-1 GABA-3 ECEL1 ST18	0	0	0	0.08	0.09	0	0.01	0.3	0.11	0.01	0.05	0.62	ECEL1|NR2F1|ARHGAP36|GABRQ|ST18	DMH	#FF73C7	C4-109	C3-52	C465-248: Fign.Piezo2.Lhx6.GABA-1	0.879	1	0.02	0.01	0	0.15	0.77	0.02	0.27	0.03	0.02	0.02	0.19	1.53
C4-78 Mid-1 GABA-2 ERFL COL8A1	0	0	0	0.12	0.13	0.01	0	0.3	0.11	0	0	0.23	ONECUT3|COL8A1|ONECUT1|AP003100.2|PMFBP1	DMH	#FF73C7	C4-78	C3-44	C465-200: Slc6a3.Onecut2.GABA-2	0.947	1	0.02	0	0	0.13	0.31	0.05	0.1	0.02	0.05	0	0.09	1.44
C4-279 Mid-3 GLU-2 CBLN2 ONECUT3	0	0	0	0.36	0.03	0	0	0.49	0.03	1.11	1.73	0.04	ONECUT3|TRH|PMFBP1|ZIC2|ONECUT1	MPOA	#532E99	C4-279	C3-101	C465-21: Agtr1a.Igfbpl1.Cbln2.Trh.GLU-2	0.929	1	0.05	0	0	0.3	0.5	0.01	0.1	0.01	0.06	0.97	3.25	0.19
C4-189 Pre-2 GABA-3 GBX1 ETV1	0	0	0.01	0.01	0.01	0.02	0.03	0.32	0.08	0	0.05	0.25	LHX8|GBX1|ELFN1|MEGF10|CHRNA3	LPOA	#FFE926	C4-189	C3-74	C465-263: Crh.Gbx1.Sox6.Lhx8.GABA-1	0.873	1	0.06	0	0	0.28	0.86	0	0.02	0.06	0.33	0	0.03	1.63
C4-113 Mid-1 GABA-3 SFRP1 TAFA4	0	0	0.01	0.37	0.07	0.03	0.08	0.2	0.37	0.02	0.15	0.58	SFRP1|ST18|LHX6|PDGFD|NKX2-2			C4-113	C3-53															
C4-322 Mid-2 GLU-1 ITGA2 RASSF6	0	0	0.01	0	0.03	0	0	0.29	0.05	0	0	0	WIF1|RASSF6|LEF1|THSD7B|LRIG3	MPOA	#532E99	C4-322	C3-115															
C4-79 Mid-1 GABA-2 ERFL TEX41	0	0	0	0.51	0.01	0	0.04	0.24	0.04	0.04	0.01	0.18	TEX41|ONECUT1|POU6F2|ITGA8|ERFL	DMH	#FF73C7	C4-79	C3-44	C465-197: Slc18a2.Etv1.Pmfbp1.Onecut2.GABA-2	0.702	1	0	0.03	0	0.24	0.19	0.05	0.52	0.06	0.01	0	0.13	1.62
C4-96 Mid-1 GABA-3 ZNF385D SOX6	0	0	0	0.02	0.05	0.01	0.13	0.29	0.26	0.01	0.04	0.54	POU6F2|SOX6|PNOC|GRP|SST	DMH	#FF73C7	C4-96	C3-49	C465-161: Tac2.Pou6f2.Unassigned.Mixed.GABA-2	0.767	1	0.01	0.03	0	0.28	0.53	0.02	1.77	0.13	0.08	0	0.06	1.67
C4-146 Mid-1 GABA-5 FOXD2 ROR1	0	0	0.17	0.15	1.19	0.02	0.03	1.93	0.13	0.01	0.81	0.4	TMEM176B|FOXD2|PENK|HLA-B|SOCS1	Perivent	#CC9F5C	C4-146	C3-61	C465-282: Th.Trh.Nkx2-4.GABA-3	0.944	2	0	0.12	0.04	0.26	1.86	0.01	0.06	0.91	0.14	0	1.8	0.95
C4-365 Mid-2 GABA-GLU-2 PPP1R17 LMO1	0	0	0	0.59	0.17	0.01	0.7	0.21	0.11	0.03	0.67	0.43	PPP1R17|RORB|LMO1|PRDM13|CCBE1	Perivent	#CC9F5C	C4-365	C3-126															
C4-101 Mid-1 GABA-3 LHX6 PROX1	0	0	0	0.08	0.08	0.01	0.02	0.26	0.09	0.05	0.06	0.27	BHLHE22|LHX6|PROX1|C5orf64|MEGF10			C4-101	C3-50	C465-267: Lhx6.Sox6.Lhx8.GABA-1	0.787	1	0.03	0.01	0	0.21	0.39	0.01	0.32	0.07	0.02	0.02	0.76	1.6
C4-201 Pre-2 GABA-4 LHX6 CASR	0	0.01	0	0.03	0.02	0	0.25	0.21	0.46	0	0.24	0.34	CASR|LHX6|EGFL6|NFIX|SOX6			C4-201	C3-78	C465-250: Moxd1.Dlx1.Lhx6.GABA-1	0.912	1	0.03	0.02	0	0.29	1.56	0.02	0.75	0	0.01	0.01	0.38	1.52
C4-147 Mid-1 GABA-5 FOXD2 NPW	0	0	0.05	0.47	0.22	0	0.02	1	0.06	0	0.4	0.37	EBF1|FOXD2|NPW|TIE1|PROX1	Perivent	#CC9F5C	C4-147	C3-61	C465-280: Ebf1.Nkx2-4.GABA-3	0.915	1	0	0.04	0	0.2	0.52	0.01	0.12	0.77	0.05	0	0.24	0.94
C4-140 Mid-1 GABA-5 DLK1 EBF1	0	0	0	0.44	0.37	0.03	0	0.32	0.38	0	0.05	0.56	DLK1|EBF1|RELN|PROX1|RORB	LH	#3D61CC	C4-140	C3-59															
C4-167 Mid-1 GABA-8	0	0	0.02	0.01	0.1	0	0	0.31	0.04	0	0.01	0.42	IGF1|NXPH2|P2RY6|SST|KCNMB2	Thalamus	#C2CC00	C4-167	C3-68	C465-170: Pvalb.Mixed.GABA-2	0.94	1	0.04	0	0	0.17	0.61	0.03	0.02	0	0.02	0	0.32	1.94
C4-181 Pre-2 GABA-2 LHX8 KCNU1	0	0	0	0.08	0.03	0.01	0.22	0.3	0.64	0	0.01	0.36	KCNU1|LHX8|CHST9|ITIH5|GPR156	POA	#F64DFF	C4-181	C3-72	C465-257: Pou3f1.Lhx6.Lhx8.GABA-1	0.869	1	0.06	0.02	0	0.26	0.23	0.04	0.45	0.02	0.03	0	0.15	1.7
C4-211 Pre-2 GABA-4 POSTN	0	0	0	0.23	0	0.01	0.62	0.31	0.22	0	0.07	0.34	POSTN|SHISA8|NR2F1|AP001636.3|NFIX			C4-211	C3-81	C465-244: Dlx6os1.St18.Lhx6.GABA-1	0.871	1	0.01	0.01	0	0.18	0.55	0.02	0.87	0.01	0.02	0.01	0.18	1.45
C4-114 Mid-1 GABA-3 SFRP1 RELN	0	0	0	1.06	0.02	0.03	0.38	0.33	0.36	0	0.27	0.31	SFRP1|LHX6|EGFL6|ST18|ADAMTS20			C4-114	C3-53	C465-245: Nfix.St18.Lhx6.GABA-1	0.868	1	0	0.02	0.01	0.11	1.43	0	1.01	0.03	0.06	0.01	0.76	1.46
C4-368 Mid-2 GABA-GLU-2 PPP1R17 SFRP1	0	0	0.02	0.09	0.07	0.01	0.03	0.45	0.08	0	0.02	0.04	KC877982.1|LGSN|PPP1R17|SFRP1|PROX1	Perivent	#CC9F5C	C4-368	C3-126															
C4-263 Mid-3 GLU-1 RSPO3 TGFBI	0	0	0	0.01	0	0	0	0.32	0.01	0.04	0.02	0.03	TGFBI|NDNF|EOMES|SLC16A12|RSPO3			C4-263	C3-97	C465-38: Tcf7l2.Tbr1.Meis2.Samd3.GLU-2	0.725	1	0.01	0.01	0.14	1.01	0.15	0	0.02	0.01	0	0.01	0.09	0.19
C4-128 Mid-1 GABA-4 HMX3 HMCN1	0	0.01	0	0.3	0.21	0.01	0.1	0.15	0.18	0	0.23	0.6	HMCN1|EGFLAM|RORB|HMX3|NR2F1	MPOA	#532E99	C4-128	C3-56	C465-231: Cck.Gal.Hmcn1.GABA-1	0.742	1	0.04	0.02	0	0.44	4.27	0.58	0.19	0.02	0.36	0.01	0.33	1.24
C4-115 Mid-1 GABA-3 SFRP1 THSD7B	0	0.02	0.02	0.61	0.04	0.01	0.15	0.19	0.26	0.02	0.13	0.51	SFRP1|BHLHE22|LHX6|ABI3BP|ST18			C4-115	C3-53															
C4-268 Mid-3 GLU-1 DLK1 EBF2	0	0	0	0.01	0	0.01	0.02	0.47	0.09	0.02	0.05	0.04	EBF2|EBF3|TNC|EOMES|ST8SIA6			C4-268	C3-99	C465-49: Sln.GLU-2	0.722	1	0.08	0	0	0.26	0.39	0	0.05	0.02	0.01	0	0.23	0.36
C4-294 Mid-3 GLU-3 AVP TEX41	0	0.01	0	0.02	0.05	0.01	0.01	0.31	0.15	1.14	0.21	0	TEX41|C1QL4|TH|ONECUT1|PMFBP1	PVN	#884599	C4-294	C3-106															
C4-310 Mid-3 GLU-3 OR10AG1 KCNMB2	0	0.01	0	0.4	0.02	0.02	0	0.25	0.05	0.45	0.02	0.01	OR10AG1|EBF3|METTL11B|PRSS12|ABCA13			C4-310	C3-110	C465-18: Adgrf5.Nxph4.GLU-2	0.825	1	0.02	0	0	0.05	0.21	0	0.07	0.09	0.02	0.59	0.05	0.17
C4-204 Pre-2 GABA-4 LHX6 IGF1	0	0.02	0	0.02	0.01	0.02	0.04	0.31	0.7	0	0.07	0.43	CASR|LHX6|ITGA8|CCBE1|CMTM8			C4-204	C3-78															
